text,label,id
"Every student in Mary's class, whoever they were, happened to vote Republican.",negative,6407
Wilt is taller than I imagine anybody would ever guess that people had begun expecting Red to announce that he was.,positive,1764
John considers several people sick.,positive,7631
That Jason arrived infuriated Medea.,positive,8005
Those Olympic hopefuls should practice diligently daily.,positive,5719
The department has been chosen John for the position.,negative,4614
Every girl who saw anything was happy.,positive,5174
Truman told the story Bob.,negative,926
The man eager to start the meeting is John's sister.,positive,4197
I have much typing to do.,positive,5411
"Elmer finished the cake and John did too, finish the cake.",positive,7475
The excellent whisky which I went to the store and have bought was very costly.,negative,1282
Anything hasn't happened to his optimism.,negative,4594
I'll fix you a drink.,positive,5
The man who was arrested by Officer Bob went mad.,positive,1249
My family always summers at the seashore.,positive,3424
The only girl who it bothers me to wear that old fedora is Annabelle.,negative,1919
Mary is faster than John is.,positive,8186
Sam didn't pick those packages up until it had stopped raining which are to be mailed tomorrow.,negative,1469
Kelly buttered the bread with butter.,negative,2479
He began writing poems.,positive,5249
There melted a lot of snow on the streets of Chicago.,negative,2459
John didn't talk to a woman.,positive,6362
I mailed the sweater to Mary.,positive,5728
Alison poked the cloth.,positive,2837
I know a man who John is taller than is.,negative,1170
Martha said that Bill loved his Cheerios in the morning.,positive,5864
What city will Fred say that Mary thinks that John lives?,negative,4857
Mr Knightley walked into the drawing room.,positive,6694
Brian wiped the counter.,positive,2640
What Henri wants is the book which is on the top shelf.,positive,7222
The package carried.,negative,2695
I ate an apple.,positive,5127
a pencil with which to write broke.,positive,4919
The boys fought with each other.,positive,7519
A mile to work was run by him.,negative,4723
You and I are as alike as a horse and a cow.,positive,5353
This item belongs to the student.,positive,3756
the rice was cooked by Bill.,positive,7677
"Broadly speaking, the project was successful.",positive,3999
Lee likes not Kim.,negative,4493
"John may drink water, and Bill drink beer.",positive,4371
Quickly walks went to the store.,negative,5647
That they have completed the course is amazing.,positive,3850
I pushed against the table.,positive,2249
Heidi thinks that Andy has eaten salmon flavored candy bars.,positive,5962
How brave they must believe the claim that you are!,negative,1627
Sue said something although she was the most likely not to say anything.,positive,5216
Only the travelers who anybody has ever robbed don't carry machetes.,negative,1936
That automobile factories abound in Michigan worries me greatly.,positive,5810
for John to hurt oneself is stupid.,negative,7651
Gwen exchanged the dress to Mary.,negative,2755
That brought the letter is Bill.,negative,5129
John got sent to prison.,positive,4543
I hit the ball.,positive,5670
I handed.,negative,7350
We talked about that he was sick for days.,negative,4763
What is John eager to do?,positive,3506
I inquired when we could leave.,positive,7981
Mira condemned the accident on Terry.,negative,2342
Few writers meet any playwrights in Vienna.,positive,1954
There appeared the ship on the horizon.,negative,2449
John suddenly got off the bus.,positive,3680
I'll give some to my good friend from Akron.,positive,1492
The man who I think that chased Fido returned.,negative,6521
Have you seen Mary? I have vP seen Mary,positive,8269
"If you give him enough opportunity, every senator will succumb to corruption.",positive,265
Susan wanted Jane to study German.,positive,6804
I inquired that John like his beer.,negative,5956
This hammer won't break the window.,positive,2236
How much money Gordon spent is true.,negative,4075
I wonder who could solve the problem in this way.,positive,378
"Your desk before, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",negative,7194
He figured the answer out.,positive,1146
Smith was annealing the rings.,positive,2917
Carmen obtained Mary a spare part.,negative,2748
The cake was been eating.,negative,6029
Memo ate the spaghetti.,positive,6877
There preferred for Sandy to get the job.,negative,4349
John made it clear that he would finish it on time.,positive,4997
The room reeked.,positive,3215
The pillow remained stuffed with feathers.,positive,2442
I have always loved peanut butter.,positive,6089
There is a description of Aristotle in the book.,positive,8322
"In January 2002, a dull star in an obscure constellation suddenly became 600,000 times more luminous than our Sun, temporarily making it the brightest star in our galaxy.",positive,3437
I don't know that to agree with him or not.,negative,4821
Sylvia jumped the horse over the fence.,positive,2185
The box gradually contained the ball.,negative,525
Linda taped the label to the cover.,positive,2307
The power of your mind and the power of your body have a tight connection.,positive,4256
Jason arrived by Medea.,negative,8265
There was known to everyone.,negative,835
John loves him.,negative,6344
Mary considered to have loved her.,negative,793
"John drinks coffee at 11, and Mary, tea at 10:30.",negative,7093
The bed was unmade.,positive,463
"One of the Jewish children is a spunky girl, who gave a black eye to the kid with the German roots before the start of the war.",positive,2055
We offered her with a job.,negative,2729
"Fluffy is sick, which it is certain that no one here realizes.",positive,1663
Jane imagines Bill claims John believes Mary thinks Tom is honest.,positive,3676
I hunted the secret out of him.,positive,3030
The defendant denied.,negative,3878
"He hasn't often paid taxes, has he?",positive,329
Athena introduced Medea to Jason,positive,7858
Who does Phineas know a girl working with?,negative,1208
This is the student pictures of whom appeared in the newspaper.,positive,4883
We might go on vacation if we can ever figure out when to.,negative,855
Sasha is gobbling down dumplings faster than I can reheat them.,positive,1330
It was in the barn or it took place in the barn.,positive,7306
They caught her without a license is what happened.,negative,5096
I sent to you recipes.,negative,7230
The room contains few armchairs.,positive,3487
Bill's mother's friends are waiting at the restaurant.,positive,7231
The umpire fell the deck off.,negative,3593
I emptied it with butter.,negative,7367
Which pictures of him did Earl see?,positive,1062
John is as much intelligent as Mary.,negative,5355
Some accountants were quietly counting in the back office.,positive,6617
John fed the baby up with rice.,positive,619
Louis was forgiven by Susan.,positive,5941
The store staffed with employees.,negative,2605
Gomez's photograph of Pugsley of Lucy's,negative,7933
What do you remember where we bought?,negative,450
Susan hopes herself to sleep.,positive,7646
Bob gave Steve the syntax assignment.,positive,5889
Who poisoned who?,positive,8010
The men would all not have been working.,negative,5260
Christina is ready to leave.,positive,6272
"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.",negative,909
What she did was know this theory.,negative,6937
We are knowing this theory.,negative,6933
Mary didn't see almost any flower.,negative,6453
I saw the brilliant one with long hair.,positive,7385
The cat seems to be out of the bag.,positive,4289
